address,Trzaskowski_first,Nawrocki_first,Trzaskowski_second,Nawrocki_second
"Zespół Szkolno – Przedszkolny, ul. św. Anny 1/3, 34-521 Ząb",119,512,192,26
"Zespół Szkolno – Przedszkolny, Łętownia 286, 34-242 Łętownia",162,702,314,233
"Zespół Szkolno-Przedszkolny nr 1, ul. Pszczyńska 125, 44-335 Jastrzębie-Zdrój",453,763,734,264
"Zespół Szkolno-Przedszkolny nr 4, ul. Staroniwska 55, 35-101 Rzeszów",647,513,138,72
"Zespół Szkolno-Przedszkolny nr 7, ul. Budziwojska 154, 35-317 Rzeszów",424,518,775,154
"Zespół Szkolno-Przedszkolny nr 8 w Żorach, ul. Wysoka 13, 44-240 Żory",499,541,907,162
"Zespół Szkolno-Przedszkolny nr 9 w Żorach, ul. Rybnicka 226, 44-240 Żory",362,571,659,53
"Zespół Szkolno-Przedszkolny w Dobrzelowie, ul. Górna 7, 97-400 Bełchatów",264,616,539,103
"Zespół Szkolno-Przedszkolny w Jedlni, Jedlnia 93, 26-670 Pionki",178,676,318,99
"Zespół Szkolno-Przedszkolny w Radgoszczy, pl. św. Kazimierza 10, 33-207 Radgoszcz",72,620,125,0
"Zespół Szkolno-Przedszkolny, Wola Kiełpińska 1, 05-140 Serock",1169,1165,1045,135
"Zespół Szkolno-Przedszkolny, ul. Szkolna 21, 44-323 Połomia",190,717,326,210
"Zespół Szkolno-Przedszkolny, ul. Szkolna 6, 84-217 Szemud",687,823,1149,713
"Zespół Szkolno-Przedszkolny, ul. Zwycięstwa 44, 44-177 Paniówki",471,542,777,27
"Zespół Szkoły i Schroniska Młodzieżowego, Stryszawa 400A, 34-205 Stryszawa",225,666,360,86
"Zespół Szkół Ogólnokształcących im. Prof. Stanisława Bąka w Grębowie, ul. Rynek 9, 39-410 Grębów",184,554,340,9
"Zespół Szkół Ogólnokształcących, ul. Długoszowskich 1, 38-350 Bobowa",213,756,387,249
"Zespół Szkół Technicznych, ul. Adama Matuszczaka 7, 35-083 Rzeszów",554,462,215,261
"Zespół Szkół im. Bł. Bronisława Markiewicza, Trzeboś ul. Kościelna 1, 36-050 Sokołów Małopolski",37,648,94,140
"Zespół Szkół im. Jana Pawła II w Jasionce, Jasionka 301, 36-002 Jasionka",293,557,568,121
"Zespół Szkół nr 3 w Przytkowicach, Przytkowice 542, 34-141 Przytkowice",228,541,451,38
"Zespół Szkół w Medyni Głogowskiej, Medynia Głogowska 426, 37-126 Medynia Głogowska",60,631,121,50
"Zespół Szkół w Łukawcu, Łukawiec 423, 36-004 Łąka",158,651,320,97
"Zgierskie Centrum Kardiologii Med-Pro Polsko-Amerykańskich Klinik Serca, ul. Parzęczewska 35, 95-100 Zgierz",3,4,3,3
"emeis Polska Sp z o.o. Rezydencja na Dyrekcyjnej, ul. Dyrekcyjna 5-7, 50-528 Wrocław",36,12,44,10
"Świetlica Wiejska, Przyszowa 605, 34-604 Przyszowa",136,703,258,143
"Świetlica szpitalna, ul. Szpitalna 9, 24-300 Opole Lubelskie",12,9,0,2
"„Zdrowie” Sp. z o. o. Niepubliczny Zakład Opieki Zdrowotnej w Kwidzynie, ul. gen. Józefa Hallera 31, 82-500 Kwidzyn",5,5,9,4
